cleaned_log,label
data storage interrupt,failure
data storage interrupt,failure
instruction address: 0x00004ed8,failure
instruction address: 0x00004ed8,failure
instruction address: 0x00004ed8,failure
instruction address: 0x00004ed8,failure
instruction address: 0x00004ed8,failure
instruction address: 0x00004ed8,failure
instruction address: 0x00004ed8,failure
instruction address: 0x00004ed8,failure
data storage interrupt,failure
instruction address: 0x00004ed8,failure
instruction address: 0x00004ed8,failure
data address: 0x00000002,failure
data address: 0x00000002,failure
machine check: i-fetch......................0,failure
machine check: i-fetch......................0,failure
program interrupt: illegal instruction......0,failure
data storage interrupt,failure
data storage interrupt,failure
data storage interrupt,failure
data storage interrupt,failure
data storage interrupt,failure
instruction address: 0x00004ed8,failure
data storage interrupt,failure
instruction address: 0x00004ed8,failure
data storage interrupt,failure
data address: 0x00000002,failure
data storage interrupt,failure
data address: 0x00000002,failure
data address: 0x00000002,failure
data storage interrupt,failure
data address: 0x00000002,failure
machine check: i-fetch......................0,failure
data storage interrupt,failure
data storage interrupt,failure
data storage interrupt,failure
data storage interrupt,failure
data address: 0x00000002,failure
instruction address: 0x00004ed8,failure
exception syndrome register: 0x00800000,failure
exception syndrome register: 0x00800000,failure
exception syndrome register: 0x00800000,failure
exception syndrome register: 0x00800000,failure
program interrupt: illegal instruction......0,failure
program interrupt: illegal instruction......0,failure
data address: 0x00000002,failure
exception syndrome register: 0x00800000,failure
machine check: i-fetch......................0,failure
data store interrupt caused by dcbf.........0,failure
machine check: i-fetch......................0,failure
data store interrupt caused by dcbf.........0,failure
program interrupt: illegal instruction......0,failure
program interrupt: illegal instruction......0,failure
program interrupt: privileged instruction...0,failure
program interrupt: privileged instruction...0,failure
program interrupt: trap instruction.........0,failure
program interrupt: imprecise exception......0,failure
store operation.............................1,failure
store operation.............................1,failure
machine state register: 0x00002000,failure
data store interrupt caused by icbi.........0,failure
problem state (0=sup.1=usr).......0,failure
data store interrupt caused by icbi.........0,failure
data store interrupt caused by icbi.........0,failure
floating point instr. enabled.....1,failure
floating point instr. enabled.....1,failure
floating point instr. enabled.....1,failure
auxiliary processor.........................0,failure
machine check enable..............0,failure
machine check enable..............0,failure
floating pt ex mode 0 enable......0,failure
program interrupt: unimplemented operation..0,failure
debug interrupt enable............0,failure
floating pt ex mode 1 enable......0,failure
byte ordering exception.....................0,failure
byte ordering exception.....................0,failure
data address space................0,failure
data address space................0,failure
program interrupt: imprecise exception......0,failure
core configuration register: 0x00002000,failure
program interrupt: imprecise exception......0,failure
program interrupt: fp cr update.............0,failure
guaranteed instruction cache block touch.0,failure
guaranteed instruction cache block touch.0,failure
program interrupt: fp cr field .............0,failure
program interrupt: fp cr field .............0,failure
program interrupt: fp cr field .............0,failure
guaranteed data cache block touch........1,failure
program interrupt: fp cr field .............0,failure
force load/store alignment...............0,failure
icache prefetch depth....................0,failure
machine state register: 0x00002000,failure
machine state register: 0x00002000,failure
icache prefetch threshold................0,failure
icache prefetch threshold................0,failure
machine state register: 0x00002000,failure
wait state enable.................0,failure
critical input interrupt enable...0,failure
problem state (0=sup.1=usr).......0,failure
problem state (0=sup.1=usr).......0,failure
floating point instr. enabled.....1,failure
special purpose registers:,failure
lr:00004ed0 cr:28244842 xer:20000002 ctr:00086000,failure
rts internal error,failure
floating pt ex mode 0 enable......0,failure
floating pt ex mode 0 enable......0,failure
debug wait enable.................0,failure
floating pt ex mode 1 enable......0,failure
instruction address space.........0,failure
data address space................0,failure
data address space................0,failure
data address space................0,failure
core configuration register: 0x00002000,failure
core configuration register: 0x00002000,failure
core configuration register: 0x00002000,failure
core configuration register: 0x00002000,failure
core configuration register: 0x00002000,failure
core configuration register: 0x00002000,failure
disable store gathering..................0,failure
disable store gathering..................0,failure
disable store gathering..................0,failure
generating core.42,normal
total of 1 ddr error(s) detected and corrected,normal
generating core.145,normal
instruction cache parity error corrected,normal
instruction cache parity error corrected,normal
instruction cache parity error corrected,normal
instruction cache parity error corrected,normal
instruction cache parity error corrected,normal
instruction cache parity error corrected,normal
generating core.1978,normal
generating core.2040,normal
generating core.15,normal
instruction cache parity error corrected,normal
instruction cache parity error corrected,normal
instruction cache parity error corrected,normal
instruction cache parity error corrected,normal
instruction cache parity error corrected,normal
instruction cache parity error corrected,normal
instruction cache parity error corrected,normal
generating core.16218,normal
instruction cache parity error corrected,normal
instruction cache parity error corrected,normal
generating core.8531,normal
generating core.2961,normal
generating core.15966,normal
generating core.42,normal
generating core.93,normal
generating core.2605,normal
generating core.6037,normal
generating core.886,normal
generating core.3053,normal
generating core.2790,normal
ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:51706,failure
instruction cache parity error corrected,normal
generating core.1488,normal
CE sym 2. at 0x0b85f680. mask 0x0e,normal
generating core.2186,normal
generating core.978,normal
generating core.2808,normal
generating core.2486,normal
generating core.334,normal
generating core.5401,normal
generating core.14418,normal
generating core.2558,normal
generating core.9785,normal
generating core.4614,normal
generating core.7615,normal
generating core.15935,normal
ciod: Error loading /home/draeger/testQboxhang-nozerobytebug-nosleepyescomm: invalid or missing program image. No such file or directory,failure
ciod: Error creating node map from file /p/gb2/cabot/miranda/newmaps/8k_128x64x1_8x4x4.map: No child processes,failure
CE sym 0. at 0x1b858280. mask 0x40,normal
generating core.8089,normal
generating core.4660,normal
generating core.721,normal
generating core.5287,normal
generating core.783,normal
1 ddr errors(s) detected and corrected on rank 0. symbol 17. bit 1,normal
instruction cache parity error corrected,normal
ciod: Error loading ./runtime_malloc: invalid or missing program image. No such file or directory,failure
instruction cache parity error corrected,normal
199680 double-hummer alignment exceptions,normal
1969920 double-hummer alignment exceptions,normal
2576000 double-hummer alignment exceptions,normal
2576000 double-hummer alignment exceptions,normal
6182400 double-hummer alignment exceptions,normal
6182400 double-hummer alignment exceptions,normal
6182400 double-hummer alignment exceptions,normal
3091200 double-hummer alignment exceptions,normal
3091200 double-hummer alignment exceptions,normal
3091200 double-hummer alignment exceptions,normal
CE sym 12. at 0x1b786f60. mask 0x04,normal
CE sym 0. at 0x1b8584e0. mask 0x80,normal
CE sym 23. at 0x03f89c00. mask 0x10,normal
23431872 double-hummer alignment exceptions,normal
259966605 double-hummer alignment exceptions,normal
255244071 double-hummer alignment exceptions,normal
259822751 double-hummer alignment exceptions,normal
generating core.24721,normal
generating core.4184,normal
generating core.58109,normal
generating core.9881,normal
generating core.19579,normal
generating core.4501,normal
generating core.50230,normal
generating core.62516,normal
generating core.27921,normal
generating core.16830,normal
generating core.9369,normal
generating core.10140,normal
generating core.37749,normal
generating core.9654,normal
generating core.56155,normal
generating core.40250,normal
generating core.45353,normal
generating core.9578,normal
generating core.14856,normal
generating core.62468,normal
generating core.38415,normal
generating core.39138,normal
generating core.10394,normal
generating core.41347,normal
generating core.7619,normal
generating core.54486,normal
generating core.22421,normal
generating core.18261,normal
generating core.58616,normal
generating core.47736,normal
generating core.25048,normal
generating core.58777,normal
generating core.49137,normal
generating core.42553,normal
generating core.2109,normal
generating core.718,normal
generating core.10752,normal
generating core.323,normal
ciod: Error loading /home/glosli/src/ddcMD/ddcMD/1.1.13/ddcMDbglV: invalid or missing program image. No such file or directory,failure
CE sym 5. at 0x11042a80. mask 0x04,normal
instruction cache parity error corrected,normal
generating core.21112,normal
program interrupt,normal
generating core.28370,normal
program interrupt: illegal instruction......1,normal
program interrupt: illegal instruction......1,normal
program interrupt: privileged instruction...0,normal
data store interrupt caused by dcbf.........0,normal
data store interrupt caused by icbi.........0,normal
data store interrupt caused by icbi.........0,normal
auxiliary processor.........................0,normal
auxiliary processor.........................0,normal
auxiliary processor.........................0,normal
program interrupt: unimplemented operation..0,normal
program interrupt: imprecise exception......0,normal
program interrupt: imprecise exception......0,normal
generating core.14700,normal
program interrupt,normal
program interrupt,normal
instruction address: 0x0062fe04,normal
exception syndrome register: 0x08000000,normal
program interrupt: illegal instruction......1,normal
program interrupt: privileged instruction...0,normal
data store interrupt caused by dcbf.........0,normal
data store interrupt caused by dcbf.........0,normal
auxiliary processor.........................0,normal
CE sym 0. at 0x1b8594e0. mask 0x40,normal
Node card is not fully functional,normal
CE sym 10. at 0x08e70580. mask 0x08,normal
generating core.1786,normal
generating core.26918,normal
generating core.10125,normal
generating core.4230,normal
generating core.179,normal
generating core.1177,normal
generating core.32693,normal
generating core.7151,normal
generating core.7023,normal
344040 double-hummer alignment exceptions,normal
344040 double-hummer alignment exceptions,normal
344040 double-hummer alignment exceptions,normal
generating core.29308,normal
generating core.2586,normal
generating core.6040,normal
generating core.16904,normal
generating core.26186,normal
generating core.26156,normal
generating core.2112,normal
generating core.23659,normal
generating core.1605,normal
generating core.16483,normal
generating core.257,normal
generating core.18751,normal
generating core.22783,normal
generating core.8021,normal
generating core.10734,normal
generating core.3613,normal
generating core.1916,normal
generating core.4246,normal
generating core.7777,normal
generating core.5935,normal
generating core.8691,normal
generating core.5512,normal
generating core.1123,normal
generating core.1641,normal
CE sym 0. at 0x1b858ca0. mask 0x40,normal
ciod: Error creating node map from file /p/gb2/welcome3/32k_128x256x1_8x4x4.map: Bad file descriptor,failure
CE sym 0. at 0x1b858280. mask 0x40,normal
CE sym 22. at 0x049af800. mask 0x02,normal
generating core.1165,normal
generating core.23615,normal
generating core.865,normal
generating core.1626,normal
generating core.16594,normal
generating core.30586,normal
generating core.18540,normal
generating core.9825,normal
generating core.6698,normal
generating core.4525,normal
generating core.28084,normal
generating core.6028,normal
generating core.536,normal
generating core.15655,normal
generating core.8628,normal
generating core.12122,normal
generating core.2210,normal
generating core.10312,normal
generating core.228,normal
generating core.332,normal
generating core.15740,normal
generating core.3389,normal
Ido chip status changed: FF:F2:9F:16:E2:23:00:0D:60:E9:1D:DC ip=10.0.0.151 v=9 t=4 status=M Fri Jul 01 08:16:53 PDT 2005,normal
Can not get assembly information for node card,failure
1146800 double-hummer alignment exceptions,normal
1146800 double-hummer alignment exceptions,normal
1146800 double-hummer alignment exceptions,normal
1146800 double-hummer alignment exceptions,normal
1146800 double-hummer alignment exceptions,normal
1146800 double-hummer alignment exceptions,normal
1146800 double-hummer alignment exceptions,normal
1146800 double-hummer alignment exceptions,normal
1146800 double-hummer alignment exceptions,normal
1146800 double-hummer alignment exceptions,normal
1146800 double-hummer alignment exceptions,normal
1146800 double-hummer alignment exceptions,normal
1146800 double-hummer alignment exceptions,normal
1146800 double-hummer alignment exceptions,normal
1146800 double-hummer alignment exceptions,normal
1146800 double-hummer alignment exceptions,normal
1146800 double-hummer alignment exceptions,normal
1146800 double-hummer alignment exceptions,normal
1146800 double-hummer alignment exceptions,normal
1146800 double-hummer alignment exceptions,normal
458720 double-hummer alignment exceptions,normal
458720 double-hummer alignment exceptions,normal
458720 double-hummer alignment exceptions,normal
458720 double-hummer alignment exceptions,normal
458720 double-hummer alignment exceptions,normal
458720 double-hummer alignment exceptions,normal
458720 double-hummer alignment exceptions,normal
458720 double-hummer alignment exceptions,normal
1146800 double-hummer alignment exceptions,normal
1146800 double-hummer alignment exceptions,normal
1146800 double-hummer alignment exceptions,normal
1146800 double-hummer alignment exceptions,normal
1146800 double-hummer alignment exceptions,normal
1146800 double-hummer alignment exceptions,normal
1146800 double-hummer alignment exceptions,normal
generating core.1114,normal
generating core.848,normal
generating core.2117,normal
generating core.3293,normal
generating core.1351,normal
generating core.17222,normal
generating core.20392,normal
generating core.31006,normal
generating core.20088,normal
generating core.26993,normal
generating core.20954,normal
generating core.6139,normal
generating core.10185,normal
generating core.13776,normal
generating core.19596,normal
generating core.15557,normal
generating core.4193,normal
generating core.7539,normal
generating core.22024,normal
generating core.22905,normal
generating core.24671,normal
generating core.17853,normal
generating core.25568,normal
generating core.23080,normal
generating core.9739,normal
generating core.7187,normal
generating core.23438,normal
generating core.7881,normal
generating core.9778,normal
generating core.7915,normal
generating core.3006,normal
generating core.14627,normal
generating core.2348,normal
generating core.226,normal
generating core.1219,normal
generating core.8877,normal
generating core.13558,normal
generating core.404,normal
ciod: Missing or invalid fields on line 1 of node map file /home/auselton/bgl/64mps.sequential.mapfile,normal
1 torus receiver z+ input pipe error(s) (dcr 0x02f0) detected and corrected,normal
generating core.631,normal
generating core.998,normal
generating core.1129,normal
generating core.424,normal
generating core.1213,normal
generating core.1433,normal
generating core.2950,normal
generating core.319,normal
generating core.303,normal
generating core.1998,normal
632431728 double-hummer alignment exceptions,normal
634368144 double-hummer alignment exceptions,normal
632254896 double-hummer alignment exceptions,normal
633283776 double-hummer alignment exceptions,normal
generating core.841,normal
generating core.815,normal
generating core.57762,normal
generating core.3436,normal
generating core.4592,normal
generating core.149,normal
generating core.62507,normal
generating core.1807,normal
Node card is not fully functional,normal
ciod: duplicate canonical-rank 31 to logical-rank 0 mapping at line 3 of node map file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-sweep/sweep.map,normal
ciod: Error creating node map from file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-xyzt/xyzt.map: Block device required,failure
generating core.9652,normal
generating core.11154,normal
generating core.7571,normal
generating core.12364,normal
generating core.13817,normal
generating core.14349,normal
generating core.8897,normal
generating core.7946,normal
generating core.10299,normal
generating core.9949,normal
generating core.12012,normal
generating core.9051,normal
generating core.7752,normal
generating core.10793,normal
generating core.24671,normal
generating core.40979,normal
generating core.18129,normal
generating core.47738,normal
generating core.42109,normal
generating core.6682,normal
generating core.7672,normal
generating core.47122,normal
generating core.17493,normal
generating core.23664,normal
generating core.19296,normal
generating core.6553,normal
generating core.56320,normal
generating core.3824,normal
generating core.5781,normal
generating core.55191,normal
generating core.38077,normal
generating core.41557,normal
generating core.36539,normal
generating core.51900,normal
generating core.33018,normal
generating core.29433,normal
generating core.36248,normal
generating core.41080,normal
generating core.57878,normal
generating core.245,normal
generating core.2315,normal
generating core.30603,normal
generating core.17517,normal
generating core.2633,normal
generating core.50240,normal
generating core.10211,normal
generating core.57863,normal
generating core.51808,normal
generating core.59907,normal
generating core.25382,normal
generating core.8646,normal
generating core.7167,normal
generating core.14589,normal
generating core.2300,normal
generating core.14652,normal
generating core.14807,normal
generating core.31758,normal
generating core.7205,normal
generating core.10247,normal
generating core.30230,normal
generating core.2299,normal
generating core.28666,normal
generating core.2481,normal
generating core.52376,normal
generating core.10930,normal
generating core.51134,normal
generating core.5235,normal
generating core.50841,normal
generating core.48433,normal
generating core.34955,normal
generating core.46408,normal
generating core.35872,normal
generating core.133,normal
generating core.4622,normal
generating core.58351,normal
generating core.9158,normal
generating core.22376,normal
generating core.12329,normal
generating core.4035,normal
generating core.15459,normal
generating core.55384,normal
generating core.5342,normal
generating core.46559,normal
generating core.25604,normal
generating core.61172,normal
generating core.25271,normal
generating core.34015,normal
generating core.63070,normal
generating core.31192,normal
generating core.40344,normal
generating core.62462,normal
generating core.40528,normal
generating core.42234,normal
generating core.23259,normal
generating core.24314,normal
generating core.4180,normal
generating core.24538,normal
generating core.26078,normal
generating core.30706,normal
generating core.8147,normal
generating core.57391,normal
generating core.11784,normal
generating core.61963,normal
generating core.33163,normal
generating core.30275,normal
generating core.15753,normal
generating core.7362,normal
generating core.8575,normal
generating core.9784,normal
generating core.11921,normal
generating core.11879,normal
generating core.13067,normal
generating core.13131,normal
generating core.14071,normal
generating core.8544,normal
generating core.8531,normal
generating core.13946,normal
generating core.16095,normal
generating core.7183,normal
generating core.1988,normal
generating core.2347,normal
generating core.2790,normal
generating core.2573,normal
generating core.3985,normal
generating core.13592,normal
generating core.10019,normal
generating core.10842,normal
generating core.8138,normal
1365301360 double-hummer alignment exceptions,normal
1315337824 double-hummer alignment exceptions,normal
1401390016 double-hummer alignment exceptions,normal
generating core.32657,normal
generating core.26835,normal
generating core.28242,normal
generating core.20970,normal
generating core.18514,normal
generating core.19321,normal
generating core.13753,normal
generating core.23542,normal
generating core.28918,normal
generating core.21145,normal
generating core.8832,normal
generating core.20015,normal
generating core.11564,normal
generating core.1557,normal
generating core.5167,normal
generating core.3111,normal
generating core.7193,normal
generating core.5861,normal
generating core.15425,normal
generating core.560,normal
generating core.5760,normal
generating core.13752,normal
generating core.10860,normal
generating core.12536,normal
generating core.19744,normal
generating core.8803,normal
generating core.28238,normal
generating core.12643,normal
generating core.12927,normal
generating core.6917,normal
generating core.21353,normal
generating core.17276,normal
generating core.26955,normal
generating core.11135,normal
generating core.6711,normal
generating core.22283,normal
generating core.21175,normal
generating core.28329,normal
generating core.20367,normal
generating core.23838,normal
generating core.16300,normal
generating core.7623,normal
generating core.1957,normal
generating core.3292,normal
generating core.3249,normal
generating core.2606,normal
generating core.2233,normal
generating core.3959,normal
generating core.2880,normal
generating core.3792,normal
generating core.2971,normal
generating core.3269,normal
generating core.24376,normal
generating core.31435,normal
generating core.3851,normal
generating core.20257,normal
generating core.32257,normal
generating core.7068,normal
generating core.4329,normal
generating core.16600,normal
generating core.6519,normal
generating core.15313,normal
generating core.16623,normal
generating core.10429,normal
generating core.32116,normal
generating core.15924,normal
CE sym 2. at 0x0d09f1c0. mask 0x80,normal
ciod: Error loading /home/greeno/raptor.new.dev.3d.BGL.CXX_XL.MPI.ex: invalid or missing program image. No such file or directory,failure
rts panic! - stopping execution,failure
rts panic! - stopping execution,failure
generating core.9079,normal
generating core.6425,normal
generating core.3400,normal
generating core.6711,normal
generating core.2263,normal
generating core.9386,normal
generating core.4061,normal
generating core.14070,normal
generating core.14021,normal
generating core.1715,normal
generating core.4489,normal
generating core.2092,normal
generating core.5967,normal
total of 1 ddr error(s) detected and corrected,normal
118661512 double-hummer alignment exceptions,normal
112099344 double-hummer alignment exceptions,normal
113170696 double-hummer alignment exceptions,normal
117400328 double-hummer alignment exceptions,normal
112762744 double-hummer alignment exceptions,normal
116130784 double-hummer alignment exceptions,normal
114147592 double-hummer alignment exceptions,normal
113622512 double-hummer alignment exceptions,normal
114059360 double-hummer alignment exceptions,normal
114091808 double-hummer alignment exceptions,normal
115325776 double-hummer alignment exceptions,normal
113982272 double-hummer alignment exceptions,normal
113355952 double-hummer alignment exceptions,normal
115193048 double-hummer alignment exceptions,normal
111990296 double-hummer alignment exceptions,normal
112625368 double-hummer alignment exceptions,normal
116249832 double-hummer alignment exceptions,normal
112481672 double-hummer alignment exceptions,normal
116332728 double-hummer alignment exceptions,normal
generating core.691,normal
generating core.52403,normal
generating core.12883,normal
generating core.4159,normal
generating core.5054,normal
generating core.17150,normal
generating core.47314,normal
generating core.5520,normal
generating core.17817,normal
generating core.34898,normal
generating core.47007,normal
generating core.18363,normal
generating core.22494,normal
CE sym 16. at 0x0456cd40. mask 0x04,normal
generating core.26059,normal
generating core.17999,normal
generating core.30671,normal
generating core.2600,normal
generating core.15192,normal
generating core.26224,normal
generating core.25712,normal
generating core.22807,normal
generating core.284,normal
generating core.5381,normal
generating core.27051,normal
generating core.29420,normal
generating core.8374,normal
generating core.15966,normal
generating core.7855,normal
generating core.2296,normal
generating core.1103,normal
generating core.2010,normal
generating core.3181,normal
generating core.32010,normal
generating core.9651,normal
generating core.10057,normal
generating core.5939,normal
generating core.12984,normal
generating core.17467,normal
generating core.29367,normal
generating core.14852,normal
generating core.4862,normal
generating core.27323,normal
generating core.26646,normal
generating core.5428,normal
generating core.12212,normal
generating core.3343,normal
generating core.19942,normal
generating core.18324,normal
generating core.3510,normal
generating core.17851,normal
generating core.30632,normal
generating core.26735,normal
generating core.18689,normal
generating core.27698,normal
generating core.10645,normal
generating core.5009,normal
generating core.5785,normal
generating core.4505,normal
generating core.27577,normal
generating core.32755,normal
generating core.30675,normal
generating core.11493,normal
generating core.5671,normal
generating core.27926,normal
generating core.15967,normal
generating core.24172,normal
generating core.29732,normal
generating core.17526,normal
generating core.19481,normal
generating core.23873,normal
generating core.14603,normal
generating core.15737,normal
generating core.23119,normal
generating core.14824,normal
generating core.15648,normal
generating core.7156,normal
generating core.22967,normal
generating core.3980,normal
generating core.11473,normal
generating core.13043,normal
generating core.28011,normal
generating core.27197,normal
generating core.27704,normal
generating core.9337,normal
generating core.22886,normal
generating core.22325,normal
generating core.23998,normal
ciod: Error creating node map from file /home/pakin1/sweep3d-2.2b/results/random1-8x32x32x2.map: Permission denied,failure
ciod: Z coordinate 32 exceeds physical dimension 32 at line 33 of node map file /p/gb2/pakin1/contention-32768cpes-torus/xyzt-1x1x32768x1.map,normal
generating core.4615,normal
generating core.1682,normal
generating core.896,normal
generating core.4675,normal
generating core.84,normal
generating core.1227,normal
1 ddr errors(s) detected and corrected on rank 0. symbol 33. bit 7,normal
generating core.59955,normal
generating core.38143,normal
generating core.41718,normal
generating core.29431,normal
generating core.33399,normal
generating core.11379,normal
generating core.36339,normal
generating core.42833,normal
generating core.20595,normal
generating core.17560,normal
generating core.17212,normal
generating core.26131,normal
generating core.45777,normal
generating core.62940,normal
generating core.27867,normal
generating core.21016,normal
generating core.465,normal
generating core.55352,normal
generating core.44723,normal
generating core.36787,normal
generating core.29903,normal
generating core.33706,normal
generating core.8879,normal
generating core.50505,normal
generating core.29899,normal
generating core.46536,normal
generating core.50988,normal
generating core.22273,normal
generating core.46157,normal
generating core.59042,normal
generating core.29543,normal
generating core.22119,normal
generating core.4900,normal
generating core.30256,normal
generating core.64146,normal
generating core.58328,normal
generating core.20241,normal
generating core.24337,normal
generating core.21045,normal
generating core.47256,normal
generating core.45183,normal
generating core.46654,normal
generating core.21374,normal
generating core.45880,normal
generating core.20691,normal
generating core.45943,normal
generating core.46425,normal
generating core.11113,normal
generating core.5738,normal
generating core.237,normal
generating core.47690,normal
generating core.58120,normal
generating core.45167,normal
generating core.17638,normal
generating core.52833,normal
generating core.56961,normal
generating core.43008,normal
generating core.29025,normal
generating core.7682,normal
generating core.14519,normal
generating core.51421,normal
generating core.26734,normal
generating core.39406,normal
generating core.30886,normal
generating core.11916,normal
generating core.25367,normal
generating core.23150,normal
generating core.31197,normal
generating core.29207,normal
generating core.11244,normal
generating core.16134,normal
generating core.14142,normal
generating core.27997,normal
generating core.16038,normal
generating core.7663,normal
rts: kernel terminated for reason 1001rts: bad message header: invalid cpu. type=42315. cpu=105. index=1207960804. total=2691015,failure
debug wait enable.................0,failure
generating core.176,normal
8 floating point alignment exceptions,normal
8 floating point alignment exceptions,normal
8 floating point alignment exceptions,normal
8 floating point alignment exceptions,normal
8 floating point alignment exceptions,normal
8 floating point alignment exceptions,normal
8 floating point alignment exceptions,normal
8 floating point alignment exceptions,normal
8 floating point alignment exceptions,normal
8 floating point alignment exceptions,normal
8 floating point alignment exceptions,normal
8 floating point alignment exceptions,normal
8 floating point alignment exceptions,normal
8 floating point alignment exceptions,normal
8 floating point alignment exceptions,normal
8 floating point alignment exceptions,normal
8 floating point alignment exceptions,normal
8 floating point alignment exceptions,normal
8 floating point alignment exceptions,normal
8 floating point alignment exceptions,normal
8 floating point alignment exceptions,normal
